Year on List,Title,Author,Rank,Publisher,Weeks on List,On a Celebrity Reading List,Current Context,Max Weeks on List,# of Author Bestsellers
2020,WHY WE SLEEP,Matthew Walker,8,Scribner,43,False,No,53,19
2020,BRAIDING SWEETGRASS,Robin Wall Kimmerer,9,Milkweed Editions,2,False,Yes,192,192
2020,OUTLIERS,Malcolm Gladwell,10,"Back Bay/Little, Brown",313,False,No,367,198
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,11,"Farrar, Straus & Giroux",237,False,No,386,157
2020,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,12,Penguin,14,False,Yes,18,13
2020,BAD BLOOD,John Carreyrou,13,Vintage,3,False,Yes,6,6
2020,GRIT,Angela Duckworth,14,Scribner,67,False,No,151,90
2020,I HEARD YOU PAINT HOUSES,Charles Brandt,15,Steerforth,11,False,No,11,4
2020,ON TYRANNY,Timothy Snyder,1,Tim Duggan,63,False,Yes,90,33
2020,JUST MERCY,Bryan Stevenson,2,Spiegel & Grau,193,False,Yes,309,126
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin,70,False,Yes,269,209
2020,SAPIENS,Yuval Noah Harari,4,Harper Perennial,93,False,Yes,208,128
2020,WHITE FRAGILITY,Robin DiAngelo,5,Beacon,81,False,Yes,156,83
2020,BORN A CRIME,Trevor Noah,6,Spiegel & Grau,54,False,Yes,209,165
2020,TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,7,Convergent,6,False,No,7,7
2020,WHY WE SLEEP,Matthew Walker,8,Scribner,44,False,No,53,19
2020,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,9,Penguin,15,False,Yes,18,13
2020,BRAIDING SWEETGRASS,Robin Wall Kimmerer,10,Milkweed Editions,3,False,Yes,192,192
2020,OUTLIERS,Malcolm Gladwell,11,"Back Bay/Little, Brown",314,False,No,367,198
2020,BEING MORTAL,Atul Gawande,12,Picador,116,False,No,130,20
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,13,"Farrar, Straus & Giroux",238,False,No,386,157
2020,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,14,Simon & Schuster,2,False,Yes,7,7
2020,BAD BLOOD,John Carreyrou,15,Vintage,4,False,Yes,6,6
2020,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau,194,False,Yes,309,126
2020,SAY NOTHING,Patrick Radden Keefe,2,Anchor,1,False,Yes,9,14
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin,71,False,Yes,269,209
2020,ON TYRANNY,Timothy Snyder,4,Tim Duggan,64,False,Yes,90,33
2020,WHITE FRAGILITY,Robin DiAngelo,5,Beacon,82,False,Yes,156,83
2020,SAPIENS,Yuval Noah Harari,6,Harper Perennial,94,False,Yes,208,128
2020,BORN A CRIME,Trevor Noah,7,Spiegel & Grau,55,False,Yes,209,165
2020,TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,8,Convergent,7,False,No,7,7
2020,WHY WE SLEEP,Matthew Walker,9,Scribner,45,False,No,53,19
2020,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,10,Penguin,16,False,Yes,18,13
2020,BARRACOON,Zora Neale Hurston,11,Amistad,1,False,Yes,1,1
2020,OUTLIERS,Malcolm Gladwell,12,"Back Bay/Little, Brown",315,False,No,367,198
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,13,"Farrar, Straus & Giroux",239,False,No,386,157
2020,WINNERS TAKE ALL,Anand Giridharadas,14,Vintage,2,False,Yes,2,1
2020,GRIT,Angela Duckworth,15,Scribner,68,False,No,151,90
2020,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau,195,False,Yes,309,126
2020,SAPIENS,Yuval Noah Harari,2,Harper Perennial,95,False,Yes,208,128
2020,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin,72,False,Yes,269,209
2020,WHITE FRAGILITY,Robin DiAngelo,4,Beacon,83,False,Yes,156,83
2020,SAY NOTHING,Patrick Radden Keefe,5,Anchor,2,False,Yes,9,14
2020,BORN A CRIME,Trevor Noah,6,Spiegel & Grau,56,False,Yes,209,165
2020,WOMEN ROWING NORTH,Mary Pipher,7,Bloomsbury,1,False,Yes,1,1
2020,ON TYRANNY,Timothy Snyder,8,Tim Duggan,65,False,Yes,90,33
2020,OUTLIERS,Malcolm Gladwell,9,"Back Bay/Little, Brown",316,False,No,367,198
2020,WHY WE SLEEP,Matthew Walker,10,Scribner,46,False,No,53,19
2020,CHESAPEAKE REQUIEM,Earl Swift,11,Dey St.,1,False,Yes,4,4
2020,"THINKING, FAST AND SLOW",Daniel Kahneman,12,"Farrar, Straus & Giroux",240,False,No,386,157
2020,GRIT,Angela Duckworth,13,Scribner,69,False,No,151,90
2020,BEING MORTAL,Atul Gawande,14,Picador,117,False,No,130,20
2020,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,15,Penguin,17,False,Yes,18,13
2020,SAPIENS,Yuval Noah Harari,1,Harper Perennial,96,False,Yes,208,128
