Title,Author,Publication Date,Publication Season,Goodreads URL,Awards Count,Rating
THE HUNDRED YEARS' WAR ON PALESTINE,Rashid Khalidi,2020-01-28,Spring,https://www.goodreads.com/book/show/52960854-the-hundred-years-war-on-palestine,1.0,4.49
THE BURNING,Tim Madigan,2003-02,Spring,https://www.goodreads.com/book/show/228939.The_Burning,0.0,4.41
JESUS AND JOHN WAYNE,Kristin Kobes Du Mez,2021-06-08,Summer,https://www.goodreads.com/book/show/55298333-jesus-and-john-wayne,0.0,4.3
THE PRICE WE PAY,Marty Makary,2019-09-10,Fall,https://www.goodreads.com/book/show/49127636-the-price-we-pay,0.0,4.47
HIGH ON THE HOG,Jessica B. Harris,2011-01-01,Spring,https://www.goodreads.com/book/show/11477357-high-on-the-hog,0.0,4.18
HOAX,Brian Stelter,2020-08-25,Summer,https://www.goodreads.com/book/show/55711626-hoax,0.0,4.07
THE GLASS CASTLE,Jeannette Walls,2009-10-06,Fall,https://www.goodreads.com/book/show/7445.The_Glass_Castle?ref=nav_sb_ss_1_16,2.0,4.32
THE OTHER WES MOORE,Wes Moore,2010-04-27,Spring,https://www.goodreads.com/book/show/51104561-the-other-wes-moore,1.0,3.87
THE BEAUTY IN BREAKING,Michele Harper,2021-06-29,Summer,https://www.goodreads.com/book/show/57062568-the-beauty-in-breaking,2.0,3.82
KITCHEN CONFIDENTIAL,Anthony Bourdain,2000-05-22,Summer,https://www.goodreads.com/book/show/33313.Kitchen_Confidential?ref=nav_sb_ss_1_20,0.0,4.17
AGENT SONYA,Ben Macintyre,2020-09-15,Fall,https://www.goodreads.com/book/show/57933305-agent-sonya,2.0,4.16
NUDGE: THE FINAL EDITION,Richard H. Thaler and Cass R. Sunstein,2021-08-03,Summer,https://www.goodreads.com/book/show/58007618-nudge?ref=nav_sb_ss_1_24,1.0,3.84
THE IMMORTAL LIFE OF HENRIETTA LACKS,Rebecca Skloot,2010-02-02,Spring,https://www.goodreads.com/book/show/9571617-the-immortal-life-of-henrietta-lacks,7.0,4.12
THE SISTERS OF AUSCHWITZ,Roxane van Iperen,2021-08-31,Summer,https://www.goodreads.com/book/show/56197499-the-sisters-of-auschwitz?ref=nav_sb_ss_2_24,2.0,4.37
THE DEEPEST SOUTH OF ALL,Richard Grant,2021-08-31,Summer,https://www.goodreads.com/book/show/50896716-the-deepest-south-of-all?ref=nav_sb_ss_1_24,0.0,4.03
THE BEST OF ME,David Sedaris,2020-11-03,Fall,https://www.goodreads.com/book/show/57355846-the-best-of-me,0.0,4.21
THE ONLY PLANE IN THE SKY,Garrett M. Graff,2019-09-10,Fall,https://www.goodreads.com/book/show/48590066-the-only-plane-in-the-sky,2.0,4.72
THE DRESSMAKERS OF AUSCHWITZ,Lucy Adlington,2021-09-14,Fall,https://www.goodreads.com/book/show/57007407-the-dressmakers-of-auschwitz?ref=nav_sb_ss_1_28,0.0,4.09
REGENERATION,Paul Hawken,2021-09-21,Fall,https://www.goodreads.com/book/show/57558453-regeneration?from_search=true&from_srp=true&qid=DbhiFNvrMZ&rank=1,0.0,4.36
TALKING TO STRANGERS,Malcolm Gladwell,2019-09-10,Fall,https://www.goodreads.com/book/show/57190766-talking-to-strangers,1.0,4.0
THE LAST DAYS OF JOHN LENNON,James Patterson with Casey Sherman and Dave Wedge,2020-12-07,Fall,https://www.goodreads.com/book/show/56222214-the-last-days-of-john-lennon,0.0,3.88
THE GREATEST BEER RUN EVER,John “Chick” Donohue and J.T. Molloy,2020-11-10,Fall,https://www.goodreads.com/book/show/57007397-the-greatest-beer-run-ever,0.0,3.92
THE LAST DUEL,Eric Jager,2021-09-14,Fall,https://www.goodreads.com/book/show/57933320-the-last-duel,1.0,3.97
ELEANOR,David Michaelis,2021-10-19,Fall,https://www.goodreads.com/book/show/56897457-eleanor,1.0,4.09
IT WORKED FOR ME,Colin Powell with Tony Koltz,2012-05-22,Summer,https://www.goodreads.com/book/show/18505761-it-worked-for-me,0.0,4.08
THE HOUSE OF GUCCI,Sara G. Forden,2001-10-09,Fall,https://www.goodreads.com/book/show/61013.The_House_of_Gucci?ref=nav_sb_ss_1_18,0.0,3.44
HOMO DEUS,Yuval Noah Harari,2024-10-24,Fall,https://www.goodreads.com/book/show/37564730-homo-deus,1.0,4.2
BASED ON A TRUE STORY,Norm Macdonald,2016-09-20,Fall,https://www.goodreads.com/book/show/34002259-based-on-a-true-story,1.0,4.01
ENTANGLED LIFE,Merlin Sheldrake,2023-11-07,Fall,https://www.goodreads.com/book/show/56808433-entangled-life,3.0,4.34
AN INDIGENOUS PEOPLES' HISTORY OF THE UNITED STATES,Roxanne Dunbar-Ortiz,2014-09-16,Fall,https://www.goodreads.com/book/show/23995387-an-indigenous-peoples-history-of-the-united-states,1.0,4.37
IS THIS ANYTHING?,Jerry Seinfeld,2021-11-09,Fall,https://www.goodreads.com/book/show/57335963-is-this-anything,1.0,3.72
HUMANKIND,Rutger Bregman,2020-06-02,Summer,https://www.goodreads.com/book/show/55643277-humankind,2.0,4.32
THE YEAR OF MAGICAL THINKING,Joan Didion,2005-10-04,Fall,https://www.goodreads.com/book/show/7815.The_Year_of_Magical_Thinking?ref=nav_sb_ss_1_28,2.0,3.93
THE THREE MOTHERS,Anna Malaika Tubbs,2021-02-02,Spring,https://www.goodreads.com/book/show/57693654-three-mothers,1.0,4.09
BLUE NIGHTS,Joan Didion,2012-01-17,Spring,https://www.goodreads.com/book/show/13536236-blue-nights,0.0,3.93
THE DEVIL IN THE WHITE CITY,Erik Larson,2004-02-10,Spring,https://www.goodreads.com/book/show/259028.The_Devil_in_the_White_City,8.0,4.0
QUIET,Susan Cain,2013-01-29,Spring,https://www.goodreads.com/book/show/8520610-quiet?ref=nav_sb_ss_1_5,3.0,4.08
THE TENDER BAR,J.R. Moehringer,2005-09-01,Fall,https://www.goodreads.com/book/show/144977.The_Tender_Bar?ref=nav_sb_ss_1_14,1.0,3.99
THE CHIFFON TRENCHES,André Leon Talley,2021-04-27,Spring,https://www.goodreads.com/book/show/56988001-the-chiffon-trenches,0.0,3.83
ALL THAT SHE CARRIED,Tiya Miles,2021-06-08,Summer,https://www.goodreads.com/book/show/59813612-all-that-she-carried,10.0,3.94
LET ME TELL YOU WHAT I MEAN,Joan Didion,2022-01-25,Spring,https://www.goodreads.com/book/show/58735027-let-me-tell-you-what-i-mean,0.0,3.84
EDUCATED,Tara Westover,2018-02-20,Spring,https://www.goodreads.com/book/show/59826557-educated,10.0,4.47
THE SUM OF US,Heather McGhee,2021-02-16,Spring,https://www.goodreads.com/book/show/59452400-the-sum-of-us,8.0,4.63
THE SPLENDID AND THE VILE,Erik Larson,2020-02-25,Spring,https://www.goodreads.com/book/show/59725607-the-splendid-and-the-vile,1.0,4.3
MY FRIEND ANNA,Rachel DeLoache Williams,2019-07-23,Summer,https://www.goodreads.com/book/show/59251755-my-friend-anna,0.0,3.47
MADHOUSE AT THE END OF THE EARTH,Julian Sancton,2022-02-22,Spring,https://www.goodreads.com/book/show/59803132-madhouse-at-the-end-of-the-earth,1.0,4.27
BETWEEN TWO KINGDOMS,Suleika Jaouad,2021-02-09,Spring,https://www.goodreads.com/book/show/59563588-between-two-kingdoms,1.0,4.43
THE GATES OF EUROPE,Serhii Plokhy,2017-05-30,Summer,https://www.goodreads.com/book/show/55277909-the-gates-of-europe,1.0,4.27
ENDURANCE,Alfred Lansing,1959,Spring,https://www.goodreads.com/book/show/22928871-endurance,1.0,4.45
RED FAMINE,Anne Applebaum,2017-10-10,Fall,https://www.goodreads.com/book/show/33864676-red-famine?ref=nav_sb_ss_1_10,7.0,4.39
BLOOD AND TREASURE,Bob Drury and Tom Clavin,2021-04-20,Spring,https://www.goodreads.com/book/show/57693393-blood-and-treasure,0.0,4.06
THE ROAD TO UNFREEDOM,Timothy Snyder,2018-04-03,Spring,https://www.goodreads.com/book/show/44641666-the-road-to-unfreedom,2.0,4.36
PANDORA'S JAR,Natalie Haynes,2022-03-29,Spring,https://www.goodreads.com/book/show/58275735-pandora-s-jar,0.0,4.23
THE PREMONITION,Michael Lewis,2021-05-04,Summer,https://www.goodreads.com/book/show/60025360-the-premonition,1.0,4.33
RED NOTICE,Bill Browder,2015-10-20,Fall,https://www.goodreads.com/book/show/25205400-red-notice,1.0,4.44
WOMEN IN WHITE COATS,Olivia Campbell,2022-09-15,Fall,https://www.goodreads.com/book/show/57578391-women-in-white-coats,0.0,3.71
BLOODLANDS,Timothy Snyder,2010-10-12,Fall,https://www.goodreads.com/book/show/13587174-bloodlands,4.0,4.39
UNDER THE BANNER OF HEAVEN,Jon Krakauer,2004-06-08,Summer,https://www.goodreads.com/book/show/1894.Under_the_Banner_of_Heaven,1.0,4.01
PUTIN'S PEOPLE,Catherine Belton,2020-06-23,Summer,https://www.goodreads.com/book/show/54785531-putin-s-people,0.0,4.18
THE CODE BREAKER,Walter Isaacson,2022-05-03,Summer,https://www.goodreads.com/book/show/58438453-the-code-breaker,1.0,4.28
LILY'S PROMISE,Lily Ebert and Dov Forman,2022-05-10,Summer,https://www.goodreads.com/book/show/59723789-lily-s-promise,0.0,4.6
WALK IN MY COMBAT BOOTS,James Patterson and Matt Eversmann with Chris Mooney,2021-02-08,Spring,https://www.goodreads.com/book/show/57432317-walk-in-my-combat-boots,1.0,4.19
PATRIARCHY BLUES,Frederick Joseph,2022-05-17,Summer,https://www.goodreads.com/book/show/57992951-patriarchy-blues?from_search=true&from_srp=true&qid=Fzc3RL43U5&rank=1,0.0,4.36
THE BOMBER MAFIA,Malcolm Gladwell,2021-04-27,Spring,https://www.goodreads.com/book/show/58989871-the-bomber-mafia,1.0,4.03
THIS IS YOUR MIND ON PLANTS,Michael Pollan,2021-07-06,Summer,https://www.goodreads.com/book/show/60834540-this-is-your-mind-on-plants,1.0,3.87
FINDING THE MOTHER TREE,Suzanne Simard,2021-05-04,Summer,https://www.goodreads.com/book/show/60466360-finding-the-mother-tree,2.0,4.22
FUZZ,Mary Roach,2022,Summer,https://www.goodreads.com/book/show/60165453-fuzz,2.0,3.84
THE DAUGHTER OF AUSCHWITZ,Tova Friedman and Malcolm Brabant,2022-09-06,Fall,,0.0,4.52
THAT BIRD HAS MY WINGS,Jarvis Jay Masters,2009-09-22,Fall,https://www.goodreads.com/book/show/7840188-that-bird-has-my-wings,0.0,4.23
VANDERBILT,Anderson Cooper and Katherine Howe,2021-09-21,Fall,https://www.goodreads.com/book/show/59947658-vanderbilt,1.0,3.82
ACID FOR THE CHILDREN,Flea,2019-11-05,Fall,https://www.goodreads.com/book/show/52040949-acid-for-the-children,0.0,4.08
GETTING LOST,Annie Ernaux,2022-09-27,Fall,https://www.goodreads.com/book/show/60843483-getting-lost?from_search=true&from_srp=true&qid=99nfvgx4dd&rank=6,0.0,3.43
A CARNIVAL OF SNACKERY,David Sedaris,2021-10-05,Fall,https://www.goodreads.com/book/show/59227942-a-carnival-of-snackery,1.0,4.21
EJACULATE RESPONSIBLY,Gabrielle Blair,2022-10-18,Fall,https://www.goodreads.com/book/show/61278539-ejaculate-responsibly?from_search=true&from_srp=true&qid=Y7KhboXYjj&rank=1,0.0,4.51
EMPIRE OF PAIN,Patrick Radden Keefe,2021-04-13,Spring,https://www.goodreads.com/book/show/43868109-empire-of-pain?from_search=true&from_srp=true&qid=qkIUbEpiOC&rank=1,8.0,4.54
FROM SCRATCH,Tembi Locke,2020-02-04,Spring,https://www.goodreads.com/book/show/42202117-from-scratch?ref=nav_sb_ss_1_12,1.0,3.95
HOW Y'ALL DOING?,Leslie Jordan,2021-04-27,Spring,https://www.goodreads.com/book/show/55339007-how-y-all-doing?from_search=true&from_srp=true&qid=ymocJGO4wr&rank=1,2.0,4.14
THE PRESIDENT AND THE FREEDOM FIGHTER,Brian Kilmeade,2022-10-25,Fall,https://www.goodreads.com/book/show/61827404-the-president-and-the-freedom-fighter,0.0,4.22
ALL ABOUT ME!,Mel Brooks,2021-11-30,Fall,https://www.goodreads.com/book/show/61612838-all-about-me,1.0,4.24
WHITE WOMEN,Regina Jackson and Saira Rao,2022-11-01,Fall,https://www.goodreads.com/book/show/60371066-white-women?from_search=true&from_srp=true&qid=GGrSWSHI2Y&rank=4,0.0,4.48
THESE PRECIOUS DAYS,Ann Patchett,2021-11-23,Fall,https://www.goodreads.com/book/show/60323135-these-precious-days,2.0,4.43
DEVOTION,Adam Makos,2015-10-27,Fall,https://www.goodreads.com/book/show/32026037-devotion,0.0,4.51
THE JANUARY 6 REPORT,the House January 6th Committee,2022-12-27,Fall,https://www.goodreads.com/book/show/61425891-the-january-6-report,0.0,4.43
THE JANUARY 6TH REPORT,the Select Committee to Investigate the Jan. 6 Attack on the United States Capitol,2022-12-27,Fall,,0.0,4.48
HOW THE WORD IS PASSED,Clint Smith,2021-06-01,Summer,https://www.goodreads.com/book/show/55643287-how-the-word-is-passed?from_search=true&from_srp=true&qid=CKNpc1lGHD&rank=1,5.0,4.71
DOPAMINE NATION,Anna Lembke,2023-01-03,Spring,https://www.goodreads.com/book/show/62981559-dopamine-nation,0.0,3.91
"""YOU JUST NEED TO LOSE WEIGHT""",Aubrey Gordon,2023-01-10,Spring,,0.0,4.33
