Title,Author,Publisher,Year on List,Rank on List,On a Celebrity Reading List,Current Context
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3,FALSE,Yes
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,4,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2020,5,FALSE,Yes
Born A Crime,Trevor Noah,Spiegel & Grau,2020,6,FALSE,Yes
The Great Influenza,John M. Barry,Penguin,2020,7,FALSE,Yes
Chesapeake Requiem,Earl Swift,Dey Street,2020,8,FALSE,Yes
Outliers,Malcolm Gladwell,Back Bay/Little Brown,2020,9,FALSE,No
Why We Sleep,Matthew Walker,Scribner,2020,10,FALSE,No
Grit,Angela Duckworth,Scribner,2020,11,FALSE,No
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2020,12,FALSE,No
Being Mortal,Atul Gawande,Picador,2020,13,FALSE,No
Midnight in Chernobyl,Adam Higginbotham,Simon & Schuster,2020,14,FALSE,Yes
No One Is Too Small To Make A Difference,Greta Thunberg,Penguin,2020,15,FALSE,Yes
The Great Influenza,John M. Barry,Penguin,2020,1,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2020,2,FALSE,Yes
Say Nothing,Patrick Radden Keefe,Anchor,2020,3,FALSE,Yes
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,4,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,5,FALSE,Yes
Born A Crime,Trevor Noah,Spiegel & Grau,2020,6,FALSE,Yes
Chesapeake Requiem,Earl Swift,Dey Street,2020,7,FALSE,Yes
White Fragility,Robin DiAngelo,Beacon,2020,8,FALSE,Yes
Outliers,Malcolm Gladwell,Back Bay/Little Brown,2020,9,FALSE,No
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2020,10,FALSE,No
Midnight in Chernobyl,Adam Higginbotham,Simon & Schuster,2020,11,FALSE,Yes
The Library Book,Susan Orlean,Simon & Schuster,2020,12,TRUE,No
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,13,FALSE,Yes
Bad Blood,John Carreyrou,Vintage,2020,14,FALSE,Yes
Calypso,David Sedaris,Back Bay,2020,15,FALSE,No
The Great Influenza,John M. Barry,Penguin,2020,1,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2020,2,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3,FALSE,Yes
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,4,FALSE,Yes
Say Nothing,Patrick Radden Keefe,Anchor,2020,5,FALSE,Yes
Born A Crime,Trevor Noah,Spiegel & Grau,2020,6,FALSE,Yes
The Fifth Risk,Michael Lewis,Norton,2020,7,FALSE,Yes
Outliers,Malcolm Gladwell,Back Bay/Little Brown,2020,8,FALSE,No
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2020,9,FALSE,No
Chesapeake Requiem,Earl Swift,Dey Street,2020,10,FALSE,Yes
Midnight in Chernobyl,Adam Higginbotham,Simon & Schuster,2020,11,FALSE,Yes
The Library Book,Susan Orlean,Simon & Schuster,2020,12,TRUE,No
Maid,Stephanie Land,Hachette,2020,13,FALSE,No
Bad Blood,John Carreyrou,Vintage,2020,14,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,15,FALSE,Yes
"Wow,No Thank You",Samantha Irby,Vintage,2020,1,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2020,2,FALSE,Yes
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,3,FALSE,Yes
The Great Influenza,John M. Barry,Penguin,2020,4,FALSE,Yes
Born A Crime,Trevor Noah,Spiegel & Grau,2020,5,FALSE,Yes
Say Nothing,Patrick Radden Keefe,Anchor,2020,6,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,7,FALSE,Yes
The Fifth Risk,Michael Lewis,Norton,2020,8,FALSE,Yes
A Woman of No Importance,Sonia Purnell,Penguin,2020,9,FALSE,Yes
Outliers,Malcolm Gladwell,Back Bay/Little Brown,2020,10,FALSE,No
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2020,11,FALSE,No
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,12,FALSE,Yes
Unorthodox,Deborah Feldman,Simon & Schuster,2020,13,FALSE,No
The Library Book,Susan Orlean,Simon & Schuster,2020,14,TRUE,No
Midnight in Chernobyl,Adam Higginbotham,Simon & Schuster,2020,15,FALSE,Yes
The Great Influenza,John M. Barry,Penguin,2020,1,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2020,2,FALSE,Yes
A Woman of No Importance,Sonia Purnell,Penguin,2020,3,FALSE,Yes
The Fifth Risk,Michael Lewis,Norton,2020,4,FALSE,Yes
"Wow,No Thank You",Samantha Irby,Vintage,2020,5,FALSE,Yes
Born A Crime,Trevor Noah,Spiegel & Grau,2020,6,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,7,FALSE,Yes
Unorthodox,Deborah Feldman,Simon & Schuster,2020,8,FALSE,No
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2020,9,FALSE,No
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,10,FALSE,Yes
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2020,11,FALSE,Yes
Grit,Angela Duckworth,Scribner,2020,12,FALSE,No
Say Nothing,Patrick Radden Keefe,Anchor,2020,13,FALSE,Yes
The Library Book,Susan Orlean,Simon & Schuster,2020,14,TRUE,No
Midnight in Chernobyl,Adam Higginbotham,Simon & Schuster,2020,15,FALSE,Yes
The Great Influenza,John M. Barry,Penguin,2020,1,FALSE,Yes
Born A Crime,Trevor Noah,Spiegel & Grau,2020,2,FALSE,Yes
The Body Keeps The Score,Bessel van der Kolk,Penguin,2020,3,FALSE,Yes
A Woman of No Importance,Sonia Purnell,Penguin,2020,4,FALSE,Yes
"Wow,No Thank You",Samantha Irby,Vintage,2020,5,FALSE,Yes
Just Mercy,Bryan Stevenson,Spiegel & Grau,2020,6,FALSE,Yes
Sapiens,Yuval Noah Harari,Harper Perennial,2020,7,FALSE,Yes
"Thinking, Fast and Slow",Daniel Kahneman,Farrar Straus & Giroux,2020,8,FALSE,No
