Title,Author,Publisher,Year on List,Rank on List
These Precious Days,Ann Patchett,Harper Perennial,2022,10
Empire of Pain,Patrick Radden Keefe,Anchor,2022,11
A Carnival of Snackery,David Sedaris,Back Bay,2022,12
Sapiens,Yuval Noah Harari,Harper Perennial,2022,13
Born A Crime,Trevor Noah,One World,2022,14
Fuzz,Mary Roach,Norton,2022,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,2
All About Love,bell hooks,Morrow,2022,3
All About Me!,Mel Brooks,Ballantine,2022,4
Becoming,Michelle Obama,Crown,2022,5
From Scratch,Tembi Locke,Simon & Schuster,2022,6
Devotion,Adam Makos,Ballantine,2022,7
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,8
The Greatest Beer Run Ever,John "Chick" Donohue and J.T. Molloy,William Morrow,2022,9
These Precious Days,Ann Patchett,Harper Perennial,2022,10
Born A Crime,Trevor Noah,One World,2022,11
The President and the Freedom Fighter,Brian Kilmeade,Sentinel,2022,12   
The Bomber Mafia,Malcolm Gladwell,Back Bay,2022,13
A Carnival of Snackery,David Sedaris,Back Bay,2022,14
Empire of Pain,Patrick Radden Keefe,Anchor,2022,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,2
Devotion,Adam Makos,Ballantine,2022,3
All About Love,bell hooks,Morrow,2022,4
All About Me!,Mel Brooks,Ballantine,2022,5
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2022,6  
Becoming,Michelle Obama,Crown,2022,7
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,8
These Precious Days,Ann Patchett,Harper Perennial,2022,9
The President and the Freedom Fighter,Brian Kilmeade,Sentinel,2022,10   
The Greatest Beer Run Ever,John "Chick" Donohue and J.T. Molloy,William Morrow,2022,11  
The Bomber Mafia,Malcolm Gladwell,Back Bay,2022,12
The Splendid and the Vile,Erik Larson,Crown,2022,13
Empire of Pain,Patrick Radden Keefe,Anchor,2022,14
A Carnival of Snackery,David Sedaris,Back Bay,2022,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2022,1
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2022,2
All About Me!,Mel Brooks,Ballantine,2022,3
Devotion,Adam Makos,Ballantine,2022,4
Becoming,Michelle Obama,Crown,2022,5
Talking to Strangers,Malcolm Gladwell,Back Bay,2022,6
All About Love,bell hooks,Morrow,2022,7
These Precious Days,Ann Patchett,Harper Perennial,2022,8
The Greatest Beer Run Ever,John "Chick" Donohue and J.T. Molloy,William Morrow,2022,9   
The President and the Freedom Fighter,Brian Kilmeade,Sentinel,2022,10   
The Bomber Mafia,Malcolm Gladwell,Back Bay,2022,11
Educated,Tara Westover,Random House,2022,12
The Splendid and the Vile,Erik Larson,Crown,2022,13
A Carnival of Snackery,David Sedaris,Back Bay,2022,14
Fuzz,Mary Roach,Norton,2022,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,2
All About Love,bell hooks,Morrow,2023,3
All About Me!,Mel Brooks,Ballantine,2023,4
Becoming,Michelle Obama,Crown,2023,5
Devotion,Adam Makos,Ballantine,2023,6
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,7
The Greatest Beer Run Ever,John "Chick" Donohue and J.T. Molloy,William Morrow,2023,8   
These Precious Days,Ann Patchett,Harper Perennial,2023,9
The Bomber Mafia,Malcolm Gladwell,Back Bay,2023,10
The Splendid and the Vile,Erik Larson,Crown,2023,11
The Spy and the Traitor,Ben Macintyre,Broadway,2023,12
Sapiens,Yuval Noah Harari,Harper Perennial,2023,13
The President and the Freedom Fighter,Brian Kilmeade,Sentinel,2023,14   
Born A Crime,Trevor Noah,One World,2023,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,2
Becoming,Michelle Obama,Crown,2023,3
All About Love,bell hooks,Morrow,2023,4
Sapiens,Yuval Noah Harari,Harper Perennial,2023,5
All About Me!,Mel Brooks,Ballantine,2023,6
The Greatest Beer Run Ever,John "Chick" Donohue and J.T. Molloy,William Morrow,2023,7   
Devotion,Adam Makos,Ballantine,2023,8
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,9
The Splendid and the Vile,Erik Larson,Crown,2023,10
The Spy and the Traitor,Ben Macintyre,Broadway,2023,11
The Bomber Mafia,Malcolm Gladwell,Back Bay,2023,12
Educated,Tara Westover,Random House,2023,13
Killers of the Flower Moon,David Grann,Vintage,2023,14
These Precious Days,Ann Patchett,Harper Perennial,2023,15
The January 6 Report,House January 6th Committee,Harper,2023,1
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,2
The January 6th Report,Select Committee to Investigate the Jan. 6 Attack on the United States Capitol,Celadon,2023,3
All About Love,bell hooks,Morrow,2023,4
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,5
The January 6 Report,Select Committee to Investigate the Attack on the U.S. Capitol,Twelve,2023,6
Sapiens,Yuval Noah Harari,Harper Perennial,2023,7
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,8  
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,9
How the Word is Passed,Clint Smith,Back Bay,2023,10
All About Me!,Mel Brooks,Ballantine,2023,11
Becoming,Michelle Obama,Crown,2023,12
These Precious Days,Ann Patchett,Harper Perennial,2023,13
The Bomber Mafia,Malcolm Gladwell,Back Bay,2023,14
Grit,Angela Duckworth,Scribner,2023,15
The January 6 Report,House January 6th Committee,Harper,2023,1
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,2
The January 6th Report,Select Committee to Investigate the Jan. 6 Attack on the United States Capitol,Celadon,2023,3
All About Love,bell hooks,Morrow,2023,4
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,5
Dopamine Nation,Anna Lembke,Dutton,2023,6
Sapiens,Yuval Noah Harari,Harper Perennial,2023,7
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,8  
The January 6th Report,January 6 Select Committee,Random House,2023,9   
Born A Crime,Trevor Noah,One World,2023,10
Educated,Tara Westover,Random House,2023,11
The January 6 Report,Select Committee to Investigate the Attack on the U.S. Capitol,Twelve,2023,12  
How the Word is Passed,Clint Smith,Back Bay,2023,13
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,14
Just Mercy,Bryan Stevenson,One World,2023,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
"You Just Need to Lose Weight",Aubrey Gordon,Beacon,2023,2
All About Love,bell hooks,Morrow,2023,3
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,4
The January 6th Report,January 6 Select Committee,Random House,2023,5
The January 6 Report,House January 6th Committee,Harper,2023,6
The January 6th Report,Select Committee to Investigate the Jan. 6 Attack on the United States Capitol,Celadon,2023,7    
Sapiens,Yuval Noah Harari,Harper Perennial,2023,8
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,9  
Educated,Tara Westover,Random House,2023,10
Born A Crime,Trevor Noah,One World,2023,11
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,12
How the Word is Passed,Clint Smith,Back Bay,2023,13
Being Mortal,Atul Gawande,Metropolitan,2023,14
Grit,Angela Duckworth,Scribner,2023,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
All About Love,bell hooks,Morrow,2023,2
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,3
Sapiens,Yuval Noah Harari,Harper Perennial,2023,4
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,5  
Educated,Tara Westover,Random House,2023,6
The January 6th Report,Select Committee to Investigate the Jan. 6 Attack on the United States Capitol,Celadon,2023,7    
How the Word is Passed,Clint Smith,Back Bay,2023,8
Just Mercy,Bryan Stevenson,One World,2023,9
Being Mortal,Atul Gawande,Metropolitan,2023,10
Outliers,Malcolm Gladwell,Back Bay,2023,11
Grit,Angela Duckworth,Scribner,2023,12
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,13
The Other Wes Moore,Wes Moore,One World,2023,14
Dopamine Nation,Anna Lembke,Dutton,2023,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
All About Love,bell hooks,Morrow,2023,2
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,3
Stolen Focus,Johann Hari,Crown,2023,4
The January 6th Report,Select Committee to Investigate the Jan. 6 Attack on the United States Capitol,Celadon,2023,5    
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,6  
Sapiens,Yuval Noah Harari,Harper Perennial,2023,7
Educated,Tara Westover,Random House,2023,8
Just Mercy,Bryan Stevenson,One World,2023,9
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,10
Being Mortal,Atul Gawande,Metropolitan,2023,11
The January 6 Report,House January 6th Committee,Harper,2023,12
How the Word is Passed,Clint Smith,Back Bay,2023,13
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Broadway,2023,14    
Grit,Angela Duckworth,Scribner,2023,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
All About Love,bell hooks,Morrow,2023,2
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,3
The January 6th Report,Select Committee to Investigate the Jan. 6 Attack on the United States Capitol,Celadon,2023,4    
Sapiens,Yuval Noah Harari,Harper Perennial,2023,5
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,6  
Educated,Tara Westover,Random House,2023,7
Born A Crime,Trevor Noah,One World,2023,8
The Nineties,Chuck Klosterman,Penguin,2023,9
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,10
Grit,Angela Duckworth,Scribner,2023,11
How the Word is Passed,Clint Smith,Back Bay,2023,12
Between Two Kingdoms,Suleika Jaouad,Random House,2023,13
Dopamine Nation,Anna Lembke,Dutton,2023,14
These Precious Days,Ann Patchett,Harper Perennial,2023,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
All About Love,bell hooks,Morrow,2023,2
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,3
We Don't Know Ourselves,Fintan O'Toole,Liveright,2023,4
The Nineties,Chuck Klosterman,Penguin,2023,5
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,6  
The January 6th Report,Select Committee to Investigate the Jan. 6 Attack on the United States Capitol,Celadon,2023,7    
Born A Crime,Trevor Noah,One World,2023,8
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,9
Scattered Minds,Gabor Mate,Avery,2023,10
Grit,Angela Duckworth,Scribner,2023,11
Quiet,Susan Cain,Broadway,2023,12
How To Be An Antiracist,Ibram X. Kendi,One World,2023,13
Just Mercy,Bryan Stevenson,One World,2023,14
How the Word is Passed,Clint Smith,Back Bay,2023,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
Caste,Isabel Wilkerson,Random House,2023,2
All About Love,bell hooks,Morrow,2023,3
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,4
The Nineties,Chuck Klosterman,Penguin,2023,5
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,6  
Quiet,Susan Cain,Broadway,2023,7
Born A Crime,Trevor Noah,One World,2023,8
The January 6th Report,Select Committee to Investigate the Jan. 6 Attack on the United States Capitol,Celadon,2023,9    
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,10
Grit,Angela Duckworth,Scribner,2023,11
How To Be An Antiracist,Ibram X. Kendi,One World,2023,12
Killers of the Flower Moon,David Grann,Vintage,2023,13
Dopamine Nation,Anna Lembke,Dutton,2023,14
How the Word is Passed,Clint Smith,Back Bay,2023,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
All Above Love,bell hooks,Morrow,2023,2
Caste,Isabel Wilkerson,Random House,2023,3
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,4
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,5  
The Nineties,Chuck Klosterman,Penguin,2023,6
What My Bones Know,Stephanie Foo,Ballantine,2023,7
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,8
Quiet,Susan Cain,Broadway,2023,9
Grit,Angela Duckworth,Scribner,2023,10
The January 6th Report,Select Committee to Investigate the Jan. 6 Attack on the United States Capitol,Celadon,2023,11   
The Bomber Mafia,Malcolm Gladwell,Back Bay,2023,12
How To Be An Antiracist,Ibram X. Kendi,One World,2023,13
Killers of the Flower Moon,David Grann,Vintage,2023,14
Dopamine Nation,Anna Lembke,Dutton,2023,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
All Above Love,bell hooks,Morrow,2023,2
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,3
Caste,Isabel Wilkerson,Random House,2023,4
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,5  
Stolen Focus,Johann Hari,Crown,2023,6
The Nineties,Chuck Klosterman,Penguin,2023,7
Luck of the Draw,Frank Murphy,St. Martin's Griffin,2023,8
Quiet,Susan Cain,Broadway,2023,9
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,10
South to America,Imani Perry,Ecco,2023,11
Grit,Angela Duckworth,Scribner,2023,12
The January 6th Report,Select Committee to Investigate the Jan. 6 Attack on the United States Capitol,Celadon,2023,13   
The Bomber Mafia,Malcolm Gladwell,Back Bay,2023,14
How To Be An Antiracist,Ibram X. Kendi,One World,2023,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
All Above Love,bell hooks,Morrow,2023,2
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,3
Caste,Isabel Wilkerson,Random House,2023,4
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,5  
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,6
Grit,Angela Duckworth,Scribner,2023,7
Quiet,Susan Cain,Broadway,2023,8
The Nineties,Chuck Klosterman,Penguin,2023,9
South to America,Imani Perry,Ecco,2023,10
How To Be An Antiracist,Ibram X. Kendi,One World,2023,11
The Bomber Mafia,Malcolm Gladwell,Back Bay,2023,12
Killers of the Flower Moon,David Grann,Vintage,2023,13
Between Two Kingdoms,Suleika Jaouad,Random House,2023,14
Dopamine Nation,Anna Lembke,Dutton,2023,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
All Above Love,bell hooks,Morrow,2023,2
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,3
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,4  
Caste,Isabel Wilkerson,Random House,2023,5
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,6
The Nineties,Chuck Klosterman,Penguin,2023,7
South to America,Imani Perry,Ecco,2023,8
The Bomber Mafia,Malcolm Gladwell,Back Bay,2023,9
Killers of the Flower Moon,David Grann,Vintage,2023,10
Born A Crime,Trevor Noah,One World,2023,11
Educated,Tara Westover,Random House,2023,12
Dopamine Nation,Anna Lembke,Dutton,2023,13
How To Be An Antiracist,Ibram X. Kendi,One World,2023,14
Between Two Kingdoms,Suleika Jaouad,Random House,2023,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
All Above Love,bell hooks,Morrow,2023,2
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,3
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,4  
The Anthropocene Reviewed,John Green,Dutton,2023,5
Caste,Isabel Wilkerson,Random House,2023,6
Evicted,Matthew Desmond,Broadway,2023,7
Educated,Tara Westover,Random House,2023,8
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,9
South to America,Imani Perry,Ecco,2023,10
The Nineties,Chuck Klosterman,Penguin,2023,11
Grit,Angela Duckworth,Scribner,2023,12
Everything I Know About Love,Dolly Alderton,Harper Perennial,2023,13    
Killers of the Flower Moon,David Grann,Vintage,2023,14
Dopamine Nation,Anna Lembke,Dutton,2023,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
Crying in H Mart,Michelle Zauner,Vintage,2023,2
All About Love,bell hooks,Morrow,2023,3
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,4
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,5  
Killers of the Flower Moon,David Grann,Vintage,2023,6
Dopamine Nation,Anna Lembke,Dutton,2023,7
The Glass Castle,Jeannette Walls,Scribner,2023,8
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,9
Just Mercy,Bryan Stevenson,One World,2023,10
Grit,Angela Duckworth,Scribner,2023,11
Caste,Isabel Wilkerson,Random House,2023,12
The Anthropocene Reviewed,John Green,Dutton,2023,13
Everything I Know About Love,Dolly Alderton,Harper Perennial,2023,14    
The Nineties,Chuck Klosterman,Penguin,2023,15
Crying in H Mart,Michelle Zauner,Vintage,2023,1
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,2
All About Love,bell hooks,Morrow,2023,3
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,4
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,5  
The Glass Castle,Jeannette Walls,Scribner,2023,6
Finding Me,Viola Davis,HarperOne,2023,7
This Dawn of Everything,David Graeber & David Wengrow,Picador,2023,8
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,9
The Anthropocene Reviewed,John Green,Dutton,2023,10
Caste,Isabel Wilkerson,Random House,2023,11
Grit,Angela Duckworth,Scribner,2023,12
Everything I Know About,Dolly Alderton,Harper Perennial,2023,13
Killers of the Flower Moon,David Grann,Vintage,2023,14
Shoe Dog,Phil Knight,Scribner,2023,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
Crying in H Mart,Michelle Zauner,Vintage,2023,2
All About Love,bell hooks,Morrow,2023,3
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,4
Finding Me,Viola Davis,HarperOne,2023,5
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,6  
Killers of the Flower Moon,David Grann,Vintage,2023,7
The Dawn of Everything,David Graeber & David Wengrow,Picador,2023,8
The Glass Castle,Jeannette Walls,Scribner,2023,9
Born A Crime,Trevor Noah,One World,2023,10
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,11
Grit,Angela Duckworth,Scribner,2023,12
The Anthropocene Reviewed,John Green,Dutton,2023,13
Caste,Isabel Wilkerson,Random House,2023,14
Being Mortal,Atul Gawande,Metropolitan,2023,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
Killers of the Flower Moon,David Grann,Vintage,2023,2
Crying in H Mart,Michelle Zauner,Vintage,2023,3
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,4
All About Love,bell hooks,Morrow,2023,5
Finding Me,Viola Davis,HarperOne,2023,6
Educated,Tara Westover,Random House,2023,7
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,8  
The Dawn of Everything,David Graeber & David Wengrow,Picador,2023,9
The Lost City of Z,David Grann,Vintage,2023,10
The Glass Castle,Jeannette Walls,Scribner,2023,11
Born A Crime,Trevor Noah,One World,2023,12
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,13
Grit,Angela Duckworth,Scribner,2023,14
The Anthropocene Reviewed,John Green,Dutton,2023,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
Crying in H Mart,Michelle Zauner,Vintage,2023,2
Killers of the Flower Moon,David Grann,Vintage,2023,3
The Escape Artist,Jonathan Freedland,Harper,2023,4
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,5
All About Love,bell hooks,Morrow,2023,6
Finding Me,Viola Davis,HarperOne,2023,7
Educated,Tara Westover,Random House,2023,8
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,9
The Dawn of Everything,David Graeber & David Wengrow,Picador,2023,10
The Glass Castle,Jeannette Walls,Scribner,2023,11
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,12
Being Mortal,Atul Gawande,Metropolitan,2023,13
The Anthropocene Reviewed,John Green,Dutton,2023,14
Grit,Angela Duckworth,Scribner,2023,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
Crying in H Mart,Michelle Zauner,Vintage,2023,2
The Escape Artist,Jonathan Freedland,Harper,2023,3
Killers of the Flower Moon,David Grann,Vintage,2023,4
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,5
All About Love,bell hooks,Morrow,2023,6
Finding Me,Viola Davis,HarperOne,2023,7
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,8  
Educated,Tara Westover,Random House,2023,9
Empire of the Summer Moon,S.C. Gwynne,Scribner,2023,10
The Dawn of Everything,David Graeber & David Wengrow,Picador,2023,11    
Grit,Angela Duckworth,Scribner,2023,12
The Glass Castle,Jeannette Walls,Scribner,2023,13
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,14
The Anthropocene Reviewed,John Green,Dutton,2023,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
Crying in H Mart,Michelle Zauner,Vintage,2023,2
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,3
Killers of the Flower Moon,David Grann,Vintage,2023,4
The Escape Artist,Jonathan Freedland,Harper,2023,5
All About Love,bell hooks,Morrow,2023,6
Finding Me,Viola Davis,HarperOne,2023,7
Empire of the Summer Moon,S.C. Gwynne,Scribner,2023,8
Educated,Tara Westover,Random House,2023,9
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,10 
The Glass Castle,Jeannette Walls,Scribner,2023,11
Grit,Angela Duckworth,Scribner,2023,12
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,13
The Dawn of Everything,David Graeber & David Wengrow,Picador,2023,14
Being Mortal,Atul Gawande,Metropolitan,2023,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
Killers of the Flower Moon,David Grann,Vintage,2023,2
Quietly Hostile,Samantha Irby,Vintage,2023,3
Crying in H Mart,Michelle Zauner,Vintage,2023,4
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,5
The Escape Artist,Jonathan Freedland,Harper,2023,6
All About Love,bell hooks,Morrow,2023,7
Finding Me,Viola Davis,HarperOne,2023,8
Empire of the Summer Moon,S.C. Gwynne,Scribner,2023,9
Born A Crime,Trevor Noah,One World,2023,10
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,11 
The Glass Castle,Jeannette Walls,Scribner,2023,12
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,13
Educated,Tara Westover,Random House,2023,14
Grit,Angela Duckworth,Scribner,2023,15
Killers of the Flower Moon,David Grann,Vintage,2023,1
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,2
Crying in H Mart,Michelle Zauner,Vintage,2023,3
The Escape Artist,Jonathan Freedland,Harper,2023,4
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,5
All About Love,bell hooks,Morrow,2023,6
Quietly Hostile,Samantha Irby,Vintage,2023,7
The Glass Castle,Jeannette Walls,Scribner,2023,8
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,9  
Empire of the Summer Moon,S.C. Gwynne,Scribner,2023,10
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,11
Educated,Tara Westover,Random House,2023,12
My Love Story,Tina Turner with Deborah Davis and Dominik Wichmann,Atria,2023,13
The Bomber Mafia,Malcolm Gladwell,Back Bay,2023,14
Grit,Angela Duckworth,Scribner,2023,15
Killers of the Flower Moon,David Grann,Vintage,2023,1
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,2
Crying in H Mart,Michelle Zauner,Vintage,2023,3
Quietly Hostile,Samantha Irby,Vintage,2023,4
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,5
All About Love,bell hooks,Morrow,2023,6
Happy-Go-Lucky,David Sedaris,Back Bay,2023,7
Born A Crime,Trevor Noah,One World,2023,8
Educated,Tara Westover,Random House,2023,9
The Escape Artist,Jonathan Freedland,Harper,2023,10
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,11 
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,12
My Love Story,Tina Turner with Deborah Davis and Dominik Wichmann,Atria,2023,13 
The Glass Castle,Jeannette Walls,Scribner,2023,14
Grit,Angela Duckworth,Scribner,2023,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
Killers of the Flower Moon,David Grann,Vintage,2023,2
Crying in H Mart,Michelle Zauner,Vintage,2023,3
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,4
Solito,Javier Zamora,Hogarth,2023,5
Happy-Go-Lucky,David Sedaris,Back Bay,2023,6
All About Love,bell hooks,Morrow,2023,7
Everything I Know About Love,Dolly Alderton,Harper Perennial,2023,8
Educated,Tara Westover,Random House,2023,9
The Book of Delights,Ross Gay,Algonquin,2023,10
Quietly Hostile,Samantha Irby,Vintage,2023,11
Born A Crime,Trevor Noah,One World,2023,12
The Escape Artist,Jonathan Freedland,Harper,2023,13
Pappyland,Wright Thompson,Penguin,2023,14
Grit,Angela Duckworth,Scribner,2023,15
Killers of the Flower Moon,David Grann,Vintage,2023,1
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,2
Crying in H Mart,Michelle Zauner,Vintage,2023,3
Born A Crime,Trevor Noah,One World,2023,4
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,5
Happy-Go-Lucky,David Sedaris,Back Bay,2023,6
All About Love,bell hooks,Morrow,2023,7
Pappyland,Wright Thompson,Penguin,2023,8
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,9  
The Escape Artist,Jonathan Freedland,Harper,2023,10
The Glass Castle,Jeannette Walls,Scribner,2023,11
Talking to Strangers,Malcolm Gladwell,Back Bay,2023,12
Educated,Tara Westover,Random House,2023,13
Solito,Javier Zamora,Hogarth,2023,14
Quietly Hostile,Samantha Irby,Vintage,2023,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
Killers of the Flower Moon,David Grann,Vintage,2023,2
Crying in H Mart,Michelle Zauner,Vintage,2023,3
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,4
All About Love,bell hooks,Morrow,2023,5
Born A Crime,Trevor Noah,One World,2023,6
Educated,Tara Westover,Random House,2023,7
Quietly Hostile,Samantha Irby,Vintage,2023,8
Entangled Life,Merlin Sheldrake,Random House,2023,9
Happy-Go-Lucky,David Sedaris,Back Bay,2023,10
Outliers,Malcolm Gladwell,Back Bay,2023,11
"Thinking, Fast and Slow",Daniel Kahneman,"Farrar Straus & Giroux",2023,12 
The Glass Castle,Jeannette Walls,Scribner,2023,13
The Book of Delights,Ross Gay,Algonquin,2023,14
Solito,Javier Zamora,Hogarth,2023,15
The Body Keeps The Score,Bessel van der Kolk,Penguin,2023,1
Killers of the Flower Moon,David Grann,Vintage,2023,2
Crying in H Mart,Michelle Zauner,Vintage,2023,3
All About Love,bell hooks,Morrow,2023,4
Braiding Sweetgrass,Robin Wall Kimmerer,Milkweed Editions,2023,5
Born A Crime,Trevor Noah,One World,2023,6
Educated,Tara Westover,Random House,2023,7
