Date,Title,Author,Rank,Publisher
2020-03-14,CHESAPEAKE REQUIEM,Earl Swift,8,Dey St.
2020-03-14,OUTLIERS,Malcolm Gladwell,9,"Back Bay/Little, Brown"
2020-03-14,WHY WE SLEEP,Matthew Walker,10,Scribner
2020-03-14,GRIT,Angela Duckworth,11,Scribner
2020-03-14,"THINKING, FAST AND SLOW",Daniel Kahneman,12,"Farrar, Straus & Giroux"
2020-03-14,BEING MORTAL,Atul Gawande,13,Picador
2020-03-14,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,14,Simon & Schuster
2020-03-14,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,15,Penguin
2020-03-21,THE GREAT INFLUENZA,John M. Barry,1,Penguin
2020-03-21,SAPIENS,Yuval Noah Harari,2,Harper Perennial
2020-03-21,SAY NOTHING,Patrick Radden Keefe,3,Anchor
2020-03-21,JUST MERCY,Bryan Stevenson,4,Spiegel & Grau
2020-03-21,THE BODY KEEPS THE SCORE,Bessel van der Kolk,5,Penguin
2020-03-21,BORN A CRIME,Trevor Noah,6,Spiegel & Grau
2020-03-21,CHESAPEAKE REQUIEM,Earl Swift,7,Dey St.
2020-03-21,WHITE FRAGILITY,Robin DiAngelo,8,Beacon
2020-03-21,OUTLIERS,Malcolm Gladwell,9,"Back Bay/Little, Brown"
2020-03-21,"THINKING, FAST AND SLOW",Daniel Kahneman,10,"Farrar, Straus & Giroux"
2020-03-21,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,11,Simon & Schuster
2020-03-21,THE LIBRARY BOOK,Susan Orlean,12,Simon & Schuster
2020-03-21,BRAIDING SWEETGRASS,Robin Wall Kimmerer,13,Milkweed Editions
2020-03-21,BAD BLOOD,John Carreyrou,14,Vintage
2020-03-21,CALYPSO,David Sedaris,15,Back Bay
2020-03-28,THE GREAT INFLUENZA,John M. Barry,1,Penguin
2020-03-28,SAPIENS,Yuval Noah Harari,2,Harper Perennial
2020-03-28,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin
2020-03-28,JUST MERCY,Bryan Stevenson,4,Spiegel & Grau
2020-03-28,SAY NOTHING,Patrick Radden Keefe,5,Anchor
2020-03-28,BORN A CRIME,Trevor Noah,6,Spiegel & Grau
2020-03-28,THE FIFTH RISK,Michael Lewis,7,Norton
2020-03-28,OUTLIERS,Malcolm Gladwell,8,"Back Bay/Little, Brown"
2020-03-28,"THINKING, FAST AND SLOW",Daniel Kahneman,9,"Farrar, Straus & Giroux"
2020-03-28,CHESAPEAKE REQUIEM,Earl Swift,10,Dey St.
2020-03-28,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,11,Simon & Schuster
2020-03-28,THE LIBRARY BOOK,Susan Orlean,12,Simon & Schuster
