,Date,Title,Author,Rank,Publisher,Weeks on List,On a Celebrity Reading List,Rating,Awards Count,Publication Season
164,2020-02-29,GRIT,Angela Duckworth,15,Scribner,68,False,4.08,1.0,Fall
165,2020-03-07,JUST MERCY,Bryan Stevenson,1,Spiegel & Grau,195,False,4.63,8.0,Summer
166,2020-03-07,SAPIENS,Yuval Noah Harari,2,Harper Perennial,95,False,4.35,2.0,Spring
167,2020-03-07,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin,72,False,4.38,0.0,Fall
168,2020-03-07,WHITE FRAGILITY,Robin DiAngelo,4,Beacon,83,False,4.17,0.0,Summer
169,2020-03-07,SAY NOTHING,Patrick Radden Keefe,5,Anchor,2,False,4.47,7.0,Spring
170,2020-03-07,BORN A CRIME,Trevor Noah,6,Spiegel & Grau,56,False,4.49,6.0,Fall
171,2020-03-07,WOMEN ROWING NORTH,Mary Pipher,7,Bloomsbury,1,False,3.68,0.0,Spring
172,2020-03-07,ON TYRANNY,Timothy Snyder,8,Tim Duggan,65,False,4.2,1.0,Spring
173,2020-03-07,OUTLIERS,Malcolm Gladwell,9,"Back Bay/Little, Brown",316,False,4.19,0.0,Fall
174,2020-03-07,WHY WE SLEEP,Matthew Walker,10,Scribner,46,False,4.38,1.0,Fall
175,2020-03-07,CHESAPEAKE REQUIEM,Earl Swift,11,Dey St.,1,False,4.1,0.0,Summer
176,2020-03-07,"THINKING, FAST AND SLOW",Daniel Kahneman,12,"Farrar, Straus & Giroux",240,False,4.18,4.0,Fall
177,2020-03-07,GRIT,Angela Duckworth,13,Scribner,69,False,4.08,1.0,Fall
178,2020-03-07,BEING MORTAL,Atul Gawande,14,Picador,117,False,4.49,3.0,Fall
179,2020-03-07,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,15,Penguin,17,False,3.86,1.0,Fall
180,2020-03-14,SAPIENS,Yuval Noah Harari,1,Harper Perennial,96,False,4.35,2.0,Spring
181,2020-03-14,SAY NOTHING,Patrick Radden Keefe,2,Anchor,3,False,4.47,7.0,Spring
182,2020-03-14,THE BODY KEEPS THE SCORE,Bessel van der Kolk,3,Penguin,73,False,4.38,0.0,Fall
183,2020-03-14,JUST MERCY,Bryan Stevenson,4,Spiegel & Grau,196,False,4.63,8.0,Summer
